id,cuisine
18009,italian
28583,spanish
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,chinese
28753,mexican
22659,southern_us
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,thai
35387,italian
33780,italian
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,french
11885,indian
16585,italian
29639,french
26245,thai
38516,korean
47520,italian
26212,italian
23696,mexican
14926,chinese
13292,italian
27346,vietnamese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,italian
12741,mexican
7050,greek
22437,italian
14760,spanish
10649,jamaican
48065,vietnamese
39931,chinese
32935,italian
40142,vietnamese
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,french
24878,mexican
42624,filipino
45706,indian
8874,italian
23878,greek
47234,italian
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,jamaican
47638,italian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,cajun_creole
45832,italian
27560,korean
23247,southern_us
28975,british
43230,greek
9126,italian
13021,cajun_creole
28194,vietnamese
25617,mexican
36125,italian
16454,mexican
1607,chinese
38526,indian
18755,indian
12035,french
16047,greek
15419,italian
16971,indian
31459,southern_us
27888,southern_us
13900,spanish
12376,thai
1658,korean
29431,mexican
22290,italian
28464,italian
37953,korean
20814,chinese
35987,mexican
2329,italian
43237,mexican
30647,southern_us
16675,italian
37722,indian
32438,chinese
20287,jamaican
43296,indian
6237,greek
48560,japanese
20810,mexican
34951,french
31850,chinese
47745,jamaican
37815,vietnamese
9872,italian
5592,italian
27411,thai
39320,southern_us
40247,french
19792,mexican
40754,italian
14365,mexican
14468,southern_us
47563,mexican
19611,italian
7163,italian
43069,korean
27505,chinese
36500,filipino
25932,southern_us
817,italian
8471,french
48250,indian
9413,southern_us
12097,chinese
8416,mexican
5892,italian
676,italian
47015,chinese
21891,italian
14630,italian
36195,japanese
25981,italian
39964,french
28298,indian
31954,mexican
26620,italian
14932,southern_us
47426,spanish
1038,southern_us
8077,southern_us
37141,southern_us
45447,italian
9624,mexican
45589,italian
7265,italian
31844,italian
13046,italian
9867,italian
29184,greek
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,mexican
9365,italian
44516,italian
18193,russian
46545,italian
9900,french
14815,thai
39690,southern_us
22193,french
11739,italian
27311,chinese
36920,indian
7861,italian
29248,moroccan
43142,mexican
7574,italian
8610,mexican
989,italian
46926,mexican
40816,mexican
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,vietnamese
26661,brazilian
47182,mexican
22528,southern_us
3861,indian
1203,french
45040,chinese
33287,indian
10097,jamaican
42005,british
12423,french
39613,indian
30276,southern_us
18686,italian
3031,southern_us
40093,greek
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,french
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,italian
11735,italian
27935,italian
28198,mexican
37765,indian
33856,vietnamese
30198,mexican
42521,italian
21567,italian
36995,russian
24967,thai
45002,french
48925,italian
36914,italian
2280,southern_us
14729,cajun_creole
4594,italian
2237,mexican
45631,moroccan
2317,chinese
23079,vietnamese
29333,chinese
48066,indian
15737,italian
30580,jamaican
1119,italian
46336,moroccan
5026,italian
10749,thai
31020,mexican
30805,italian
27653,southern_us
35060,mexican
39174,british
49509,italian
31784,greek
31408,italian
36029,italian
11045,southern_us
6561,southern_us
26992,french
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,italian
46352,chinese
25132,irish
7010,southern_us
25850,chinese
19601,mexican
7935,italian
34994,indian
25113,italian
45523,southern_us
34977,filipino
7124,italian
27514,southern_us
27178,mexican
47880,korean
29197,southern_us
16347,irish
20333,italian
29112,chinese
7510,spanish
13897,indian
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,mexican
34815,italian
13797,italian
39063,chinese
29064,chinese
26896,spanish
29477,spanish
3352,korean
4966,italian
7316,italian
23879,mexican
16525,italian
32843,indian
39574,mexican
32737,mexican
44788,filipino
28772,italian
34189,mexican
33719,cajun_creole
25846,indian
1423,indian
4328,italian
579,southern_us
5219,indian
2314,southern_us
31143,spanish
13409,thai
3281,greek
15804,vietnamese
40835,mexican
39262,korean
37013,indian
14807,jamaican
47956,indian
2580,mexican
13720,italian
23008,japanese
5951,indian
39312,mexican
6176,southern_us
17617,chinese
57,mexican
43422,indian
49403,italian
44751,southern_us
21865,mexican
26584,southern_us
39355,korean
14038,italian
45396,indian
49715,mexican
41515,indian
30445,brazilian
4090,mexican
17207,thai
40376,italian
19398,italian
22347,vietnamese
49671,mexican
40854,italian
926,chinese
47919,mexican
20571,italian
18866,southern_us
48742,mexican
14577,italian
29481,italian
40996,italian
34470,french
31147,mexican
35932,italian
27221,italian
48301,italian
29925,japanese
48640,thai
22873,italian
10565,cajun_creole
15509,italian
37569,french
13306,italian
40474,italian
15182,italian
8609,chinese
32168,korean
1125,mexican
25244,italian
46889,chinese
13841,filipino
47135,moroccan
29036,indian
43533,japanese
41631,mexican
22124,southern_us
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,italian
34195,vietnamese
14183,mexican
15188,indian
8734,italian
30946,southern_us
5588,cajun_creole
49554,british
1270,indian
1259,vietnamese
45986,greek
22351,french
300,mexican
9278,southern_us
10021,indian
17014,southern_us
40855,italian
18362,japanese
16292,chinese
29924,southern_us
47174,mexican
4856,italian
15417,italian
19875,indian
42228,moroccan
36264,mexican
14571,italian
23496,italian
43879,italian
23431,indian
5499,italian
247,italian
48795,indian
47113,italian
489,mexican
13036,chinese
4838,italian
40630,indian
17576,italian
29972,indian
8123,indian
35918,mexican
42669,italian
24632,russian
35740,mexican
45670,italian
28041,filipino
46688,korean
10309,thai
15367,thai
30562,southern_us
47151,spanish
47300,thai
31200,southern_us
5749,southern_us
41807,southern_us
13990,mexican
23572,greek
872,british
38085,vietnamese
5248,chinese
26309,southern_us
26880,mexican
41559,mexican
8059,jamaican
26041,thai
30019,indian
7207,indian
30309,french
2092,italian
8023,chinese
4016,italian
24631,italian
35068,southern_us
8523,mexican
28463,italian
8629,french
43829,cajun_creole
22129,french
34505,chinese
38200,chinese
36513,japanese
32187,italian
7788,southern_us
31130,mexican
40483,irish
2224,mexican
14143,southern_us
22889,mexican
17406,chinese
10451,thai
19844,italian
23416,french
33874,greek
39951,italian
41361,mexican
44659,indian
8836,italian
21709,indian
22993,thai
39191,chinese
17182,mexican
20507,korean
42397,greek
18897,italian
3797,thai
11041,brazilian
807,vietnamese
3514,italian
12936,korean
15050,southern_us
43377,french
10471,chinese
30721,mexican
14333,indian
6260,chinese
7712,southern_us
19048,southern_us
21455,mexican
18575,southern_us
47647,indian
35947,mexican
14499,italian
43525,greek
5723,italian
48497,italian
43822,french
525,russian
30594,mexican
47948,southern_us
2099,indian
43863,mexican
24711,thai
15230,indian
21680,indian
36218,mexican
41622,chinese
34809,italian
5110,french
27214,italian
34803,italian
36822,italian
6912,vietnamese
20373,french
29157,italian
6327,mexican
35502,mexican
8305,french
35598,filipino
48538,indian
49358,indian
44506,mexican
39146,indian
29270,french
20560,indian
24169,southern_us
41537,italian
10431,italian
31517,mexican
34049,chinese
26964,mexican
49655,italian
9101,italian
30377,italian
7046,indian
47969,italian
18971,french
38891,mexican
29506,vietnamese
40305,italian
21255,italian
15578,italian
24894,southern_us
32089,chinese
46097,filipino
40982,italian
12543,filipino
38366,italian
32925,spanish
17506,thai
48389,mexican
41804,korean
9961,vietnamese
24939,indian
39599,southern_us
45838,mexican
48875,indian
25531,vietnamese
3009,cajun_creole
31965,italian
16901,italian
13370,italian
2954,vietnamese
40353,italian
8207,jamaican
10933,korean
38206,southern_us
14110,mexican
19128,italian
32616,indian
27748,mexican
31858,greek
20510,spanish
17602,thai
35665,japanese
46589,indian
8178,mexican
34880,italian
42527,mexican
29682,filipino
32166,thai
30343,british
15385,cajun_creole
18372,vietnamese
29211,italian
23269,korean
4561,thai
27365,mexican
49032,japanese
22064,italian
12060,british
47834,italian
25815,southern_us
34036,chinese
19326,filipino
44078,thai
31090,chinese
17485,russian
708,italian
5350,vietnamese
29754,italian
18309,italian
46871,southern_us
27300,southern_us
41890,filipino
49548,jamaican
11392,italian
1354,thai
48819,southern_us
19097,southern_us
42113,greek
24060,thai
25849,mexican
4543,italian
25306,southern_us
41966,italian
48719,indian
48191,thai
8826,italian
42703,mexican
16083,greek
26613,chinese
28088,italian
39965,southern_us
36239,italian
4322,moroccan
9951,french
3045,mexican
28585,italian
39841,italian
25913,mexican
39715,korean
23135,indian
47022,indian
24160,southern_us
18619,italian
12574,korean
22681,indian
33692,cajun_creole
538,mexican
22118,chinese
21890,southern_us
36340,irish
27973,italian
12870,mexican
22564,chinese
35063,italian
7000,french
11318,moroccan
47001,italian
11395,japanese
23507,mexican
47242,chinese
48957,italian
17721,italian
25138,southern_us
47438,italian
47162,italian
42459,french
6486,indian
24116,indian
31596,chinese
38887,chinese
10665,jamaican
13712,filipino
2633,french
35784,southern_us
45204,french
46722,southern_us
34949,russian
35321,chinese
46430,southern_us
34431,italian
30890,southern_us
42132,filipino
15702,thai
47719,greek
45160,italian
20600,italian
10800,greek
30479,greek
9457,french
26571,indian
42942,italian
36635,mexican
43617,chinese
16911,italian
122,mexican
22340,mexican
37007,italian
23595,italian
25233,french
5503,chinese
47338,italian
44695,vietnamese
7141,southern_us
14564,italian
19655,southern_us
35326,indian
35922,mexican
28171,italian
1322,italian
14923,southern_us
42344,italian
16380,mexican
15233,indian
8338,chinese
41014,indian
30440,mexican
23043,chinese
20788,italian
14375,mexican
1184,chinese
34280,italian
46171,cajun_creole
31834,chinese
14759,spanish
15855,chinese
6662,italian
15056,moroccan
34873,chinese
20089,cajun_creole
20015,mexican
18402,italian
6418,french
1454,chinese
14070,chinese
26424,japanese
27349,indian
26459,korean
13151,southern_us
12264,italian
18366,italian
46851,indian
18954,southern_us
39858,chinese
43500,cajun_creole
21656,italian
10505,chinese
5313,moroccan
28951,japanese
19961,indian
1795,italian
9917,british
26180,mexican
9726,italian
47689,italian
7866,italian
41625,mexican
35160,vietnamese
4430,italian
39082,french
46186,moroccan
11988,indian
24177,italian
31849,italian
41194,moroccan
36968,mexican
42330,chinese
36791,thai
19704,italian
4933,indian
4255,korean
37105,chinese
35848,mexican
17416,mexican
39066,italian
36270,cajun_creole
24406,filipino
20517,italian
27630,mexican
19670,southern_us
4685,italian
45260,italian
378,japanese
40841,southern_us
27632,japanese
12193,italian
38047,mexican
10170,italian
25043,italian
23851,italian
14743,mexican
13294,southern_us
26466,chinese
32002,irish
37526,southern_us
8888,italian
38945,indian
38546,cajun_creole
38869,french
10556,mexican
3296,italian
25977,mexican
32025,indian
44087,italian
32762,southern_us
824,mexican
44636,italian
542,chinese
38218,greek
41930,italian
1987,italian
37378,southern_us
8873,italian
1513,chinese
44013,mexican
38042,indian
11576,jamaican
24510,french
823,italian
23443,chinese
34870,indian
3846,southern_us
14993,italian
16854,mexican
5886,mexican
33793,italian
2999,french
20843,italian
29153,italian
33790,greek
16516,indian
37887,italian
18466,indian
48033,indian
45404,italian
4175,mexican
31986,italian
38555,indian
26832,vietnamese
19810,mexican
49086,mexican
39579,cajun_creole
25551,indian
42549,indian
22052,mexican
45632,italian
4143,mexican
11310,italian
32839,japanese
48171,chinese
22896,italian
10878,mexican
31643,mexican
47624,chinese
35141,italian
13498,chinese
24566,italian
16533,southern_us
15437,mexican
19426,greek
32416,mexican
2427,italian
9178,italian
40606,italian
28450,japanese
7946,italian
21756,greek
17843,southern_us
44066,mexican
7427,chinese
11297,moroccan
42965,italian
23067,italian
35066,chinese
27938,greek
39075,greek
20200,italian
19823,southern_us
12336,chinese
34714,mexican
45388,italian
25639,greek
33985,southern_us
25524,thai
19641,thai
11106,chinese
22165,italian
35412,greek
23475,japanese
1570,mexican
12815,italian
37253,moroccan
16900,italian
7701,southern_us
49391,mexican
1132,italian
13051,mexican
2284,chinese
21410,italian
25604,greek
45746,mexican
35911,filipino
26608,japanese
16991,french
40657,mexican
47960,french
38408,southern_us
1295,vietnamese
40139,russian
38538,southern_us
26420,cajun_creole
10326,thai
5181,mexican
18210,indian
3241,southern_us
27062,italian
41527,thai
45484,mexican
38755,italian
47246,italian
164,italian
723,indian
299,southern_us
1519,mexican
34077,japanese
45254,indian
34760,french
11154,southern_us
26274,italian
15081,italian
45100,mexican
1417,italian
32083,italian
29971,italian
17679,filipino
36539,italian
34975,mexican
4633,spanish
10321,vietnamese
35565,italian
26919,chinese
9549,southern_us
31863,southern_us
22053,greek
19443,southern_us
18540,italian
23354,italian
13859,southern_us
23904,thai
6675,southern_us
18595,southern_us
12967,chinese
17283,southern_us
23211,italian
14358,mexican
31398,indian
42650,italian
25258,mexican
18457,vietnamese
11810,mexican
9499,cajun_creole
11943,indian
6810,thai
34323,italian
23296,korean
45927,italian
45196,french
19917,japanese
20210,southern_us
41629,chinese
39907,italian
4956,mexican
37058,italian
20859,japanese
3315,italian
4401,italian
21361,italian
44164,french
26391,italian
47771,italian
44140,greek
43739,indian
12481,irish
12292,thai
15965,indian
23409,chinese
39005,chinese
2774,indian
14529,japanese
16926,italian
26890,brazilian
9663,indian
43052,thai
24193,southern_us
5476,italian
10048,italian
1981,brazilian
12194,chinese
22202,vietnamese
7626,thai
37365,mexican
44144,indian
37723,french
47194,filipino
30827,italian
33108,indian
2075,cajun_creole
6326,italian
11083,mexican
30311,korean
45371,mexican
18232,italian
9768,japanese
6648,southern_us
35650,cajun_creole
23013,italian
6669,mexican
42670,mexican
18155,cajun_creole
44622,vietnamese
28426,mexican
23743,italian
14176,brazilian
9576,italian
36577,mexican
16671,italian
22964,thai
16424,french
47225,italian
17565,cajun_creole
36401,filipino
30314,italian
32982,jamaican
21866,southern_us
1475,italian
13053,italian
33983,indian
24051,italian
22800,irish
16561,chinese
2740,southern_us
219,mexican
48737,french
2164,russian
13579,italian
71,italian
12420,italian
35209,mexican
11472,mexican
43172,chinese
24927,cajun_creole
37102,french
10743,southern_us
27874,indian
9565,french
21419,italian
767,korean
28308,italian
37605,italian
9558,russian
31527,italian
2419,chinese
7541,chinese
11400,greek
23487,chinese
8087,french
21906,italian
48830,mexican
37328,southern_us
45490,italian
9710,italian
16153,brazilian
39537,thai
13923,italian
8120,southern_us
12923,japanese
1556,japanese
6871,italian
34201,southern_us
36146,indian
33170,southern_us
20082,mexican
26517,southern_us
15214,jamaican
34092,southern_us
40902,southern_us
44452,greek
2083,italian
44897,mexican
17850,french
26693,italian
19618,indian
35589,indian
46084,southern_us
17256,mexican
47570,mexican
32796,italian
27047,moroccan
39487,italian
130,thai
17627,cajun_creole
29072,southern_us
1108,southern_us
22666,russian
41630,cajun_creole
27289,italian
42299,southern_us
36078,italian
7098,italian
46999,filipino
28791,chinese
39576,mexican
2447,southern_us
22449,cajun_creole
23828,indian
5660,chinese
47460,italian
17912,cajun_creole
12288,italian
44037,indian
20875,mexican
6500,korean
13813,mexican
4907,indian
38186,italian
9816,mexican
8170,italian
21681,mexican
42384,italian
35366,chinese
34244,vietnamese
35421,mexican
33457,chinese
28026,chinese
38122,italian
21362,french
42253,cajun_creole
21994,italian
34457,vietnamese
40229,moroccan
10181,mexican
38257,moroccan
40992,indian
15617,italian
34754,thai
45459,italian
31295,southern_us
44977,southern_us
18322,japanese
23257,thai
10084,greek
16445,indian
10594,japanese
26828,italian
47643,chinese
49680,chinese
27446,italian
8731,mexican
37341,mexican
42241,japanese
13669,italian
21403,jamaican
688,mexican
23894,italian
35753,french
44692,italian
235,mexican
20982,jamaican
10166,mexican
2187,italian
5022,thai
49037,italian
44478,italian
8912,brazilian
8919,italian
23856,mexican
14647,mexican
48870,filipino
14377,mexican
18548,french
39591,southern_us
46746,italian
31926,italian
10159,vietnamese
11342,chinese
32421,mexican
19969,italian
3029,southern_us
39565,southern_us
7426,italian
20624,greek
4385,french
18761,cajun_creole
46710,chinese
46241,southern_us
14208,moroccan
29323,italian
40663,southern_us
32391,mexican
9506,italian
35402,italian
48796,italian
4657,italian
2404,mexican
36923,italian
41762,french
19344,filipino
19876,italian
39452,southern_us
19209,indian
35461,thai
5784,southern_us
40345,italian
24765,italian
25563,southern_us
40680,mexican
36932,cajun_creole
28106,mexican
12717,mexican
40100,greek
6960,indian
20724,japanese
24433,italian
32118,chinese
22353,italian
23040,mexican
46246,italian
36642,southern_us
21579,italian
24073,italian
16775,thai
24732,spanish
24221,french
33300,italian
34971,chinese
19777,italian
24337,italian
24709,japanese
28557,italian
8963,french
31515,southern_us
22575,filipino
11011,italian
42030,italian
48012,filipino
13623,chinese
49552,mexican
5702,chinese
3847,italian
34221,french
4312,italian
35834,moroccan
11849,cajun_creole
38290,indian
3064,italian
30099,mexican
37354,mexican
27877,italian
45642,spanish
10629,cajun_creole
17557,italian
3725,mexican
49507,french
5560,indian
42239,indian
29559,vietnamese
46028,mexican
26523,mexican
28313,indian
32502,thai
43610,mexican
35563,italian
22160,chinese
11258,italian
36220,chinese
15974,indian
30449,indian
29676,indian
29951,chinese
2268,southern_us
36813,mexican
28096,british
40471,italian
6545,italian
33598,moroccan
22338,mexican
41918,vietnamese
2133,mexican
42259,thai
11056,italian
7034,italian
17040,vietnamese
35238,french
46155,greek
23356,italian
3909,indian
22107,mexican
1656,mexican
9302,southern_us
19473,italian
13566,italian
23424,italian
4139,italian
15970,italian
47732,french
37251,southern_us
44870,southern_us
9773,italian
2131,brazilian
6381,italian
9613,italian
47364,japanese
34376,italian
26408,indian
4763,indian
18982,mexican
2766,chinese
19247,chinese
13462,french
19678,southern_us
22814,italian
18582,russian
3124,thai
19347,greek
8812,southern_us
22037,irish
15423,french
35960,italian
49336,mexican
1255,mexican
17646,italian
20631,italian
19492,mexican
22895,greek
18607,mexican
34569,chinese
48356,spanish
12252,southern_us
21071,italian
22458,southern_us
19585,french
15597,southern_us
15038,mexican
20028,mexican
29764,mexican
17206,southern_us
40901,mexican
37954,korean
16933,thai
42657,moroccan
21846,chinese
33834,mexican
25873,italian
5938,italian
34762,italian
39835,southern_us
5805,italian
13914,chinese
45924,moroccan
41460,mexican
37287,italian
25059,italian
34872,mexican
7524,chinese
10427,chinese
8014,italian
14740,italian
24329,filipino
38514,thai
12665,chinese
24655,italian
7078,chinese
15995,southern_us
15861,mexican
30662,mexican
17836,italian
2078,southern_us
3600,filipino
46302,indian
28375,southern_us
34839,thai
18345,greek
23205,southern_us
34763,brazilian
26692,southern_us
10317,vietnamese
11767,mexican
36881,french
33468,chinese
20669,mexican
18159,italian
22891,russian
39588,italian
35941,japanese
15981,italian
26013,chinese
5076,italian
1573,italian
39380,french
13845,southern_us
35146,cajun_creole
32924,mexican
9567,italian
35203,chinese
39666,italian
17786,thai
21936,italian
8668,southern_us
41339,mexican
32268,italian
29706,mexican
42032,jamaican
8105,southern_us
11218,french
7159,italian
47817,french
1572,indian
38720,cajun_creole
14780,italian
31839,italian
6501,mexican
39533,southern_us
22820,southern_us
9619,southern_us
14025,greek
19697,italian
5370,southern_us
32639,southern_us
15249,chinese
47776,greek
48134,brazilian
24141,mexican
4117,chinese
20578,italian
47585,italian
20326,brazilian
43932,italian
29704,chinese
12447,cajun_creole
38117,italian
2684,italian
25371,mexican
25518,italian
27083,italian
16073,italian
45667,cajun_creole
44188,southern_us
44888,spanish
41594,italian
1061,chinese
6536,italian
31586,jamaican
9792,italian
40395,mexican
24861,italian
32253,indian
31082,southern_us
19298,japanese
6600,mexican
46939,italian
6092,italian
36600,spanish
45979,italian
46910,italian
14174,russian
10609,mexican
28647,greek
19066,indian
16803,moroccan
49114,cajun_creole
14664,italian
39670,southern_us
4583,chinese
31121,cajun_creole
12589,jamaican
22551,italian
11817,greek
22003,indian
42091,korean
45966,southern_us
6811,southern_us
2711,italian
44757,filipino
5349,southern_us
30294,mexican
48944,indian
44048,italian
411,italian
44998,japanese
18078,italian
48533,italian
16485,thai
32939,southern_us
11808,italian
23059,chinese
16466,cajun_creole
7315,british
13178,indian
2751,indian
41395,mexican
20534,southern_us
12111,jamaican
38708,southern_us
37481,mexican
28048,mexican
13123,cajun_creole
2174,italian
17190,cajun_creole
25756,mexican
38180,moroccan
26892,italian
23757,italian
8553,french
36272,thai
35224,italian
5203,southern_us
23565,southern_us
31420,italian
43491,thai
38773,mexican
15223,indian
17763,french
24528,italian
21704,southern_us
45329,mexican
48876,southern_us
3741,mexican
47710,brazilian
9182,italian
13782,mexican
3369,korean
11985,southern_us
39817,chinese
26869,italian
37461,mexican
24217,italian
2474,southern_us
45929,italian
12768,southern_us
924,southern_us
13258,southern_us
7955,indian
37056,chinese
17934,mexican
5843,southern_us
46881,italian
4049,mexican
24173,southern_us
4683,italian
32612,chinese
11314,italian
13550,mexican
2483,indian
9573,italian
34113,chinese
37865,korean
36951,brazilian
4703,indian
10734,indian
40444,southern_us
44334,southern_us
35991,italian
34020,southern_us
3743,korean
18305,chinese
7877,italian
10606,mexican
30584,mexican
9266,indian
35196,mexican
41070,italian
25930,filipino
48564,italian
14213,thai
6618,mexican
18479,cajun_creole
10279,russian
30750,cajun_creole
45701,italian
22947,korean
6467,indian
16365,indian
7184,italian
23270,mexican
41805,southern_us
7537,indian
18616,japanese
42857,indian
37906,irish
16846,italian
573,italian
