id,cuisine
18009,irish
28583,french
41580,italian
29752,cajun_creole
35687,spanish
38527,southern_us
19666,spanish
41217,thai
28753,mexican
22659,british
21749,italian
44967,greek
42969,indian
44883,italian
20827,french
23196,french
35387,irish
33780,southern_us
19001,mexican
16526,southern_us
42455,french
47453,indian
42478,french
11885,vietnamese
16585,spanish
29639,southern_us
26245,thai
38516,italian
47520,italian
26212,italian
23696,mexican
14926,thai
13292,french
27346,japanese
1384,chinese
15959,indian
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,spanish
23120,chinese
26743,french
12741,mexican
7050,french
22437,italian
14760,spanish
10649,indian
48065,french
39931,thai
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,french
384,thai
47230,french
39748,italian
41038,french
24878,mexican
42624,spanish
45706,korean
8874,mexican
23878,italian
47234,filipino
24075,thai
46323,spanish
22562,italian
11358,french
9201,indian
38620,thai
47638,moroccan
21238,indian
11053,french
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,filipino
48178,spanish
45832,italian
27560,korean
23247,thai
28975,french
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,thai
36125,italian
16454,mexican
1607,chinese
38526,moroccan
18755,southern_us
12035,french
16047,italian
15419,italian
16971,indian
31459,southern_us
27888,french
13900,italian
12376,thai
1658,thai
29431,southern_us
22290,chinese
28464,italian
37953,korean
20814,chinese
35987,mexican
2329,italian
43237,spanish
30647,french
16675,italian
37722,mexican
32438,italian
20287,thai
43296,indian
6237,italian
48560,korean
20810,mexican
34951,french
31850,filipino
47745,spanish
37815,vietnamese
9872,italian
5592,italian
27411,thai
39320,irish
40247,french
19792,mexican
40754,french
14365,thai
14468,southern_us
47563,southern_us
19611,spanish
7163,mexican
43069,irish
27505,chinese
36500,thai
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,spanish
5892,french
676,irish
47015,chinese
21891,filipino
14630,italian
36195,japanese
25981,italian
39964,french
28298,indian
31954,spanish
26620,french
14932,southern_us
47426,thai
1038,southern_us
8077,southern_us
37141,southern_us
45447,french
9624,mexican
45589,moroccan
7265,french
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,spanish
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,southern_us
18193,irish
46545,italian
9900,italian
14815,thai
39690,french
22193,southern_us
11739,vietnamese
27311,italian
36920,indian
7861,italian
29248,moroccan
43142,mexican
7574,southern_us
8610,mexican
989,spanish
46926,spanish
40816,thai
39726,indian
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,french
20860,italian
42494,italian
15968,french
20484,vietnamese
26661,thai
47182,thai
22528,french
3861,thai
1203,french
45040,french
33287,indian
10097,jamaican
42005,southern_us
12423,spanish
39613,vietnamese
30276,filipino
18686,italian
3031,french
40093,italian
182,french
46591,mexican
4092,chinese
13722,southern_us
44575,spanish
14989,french
13270,french
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,french
27935,french
28198,mexican
37765,indian
33856,french
30198,italian
42521,french
21567,irish
36995,irish
24967,thai
45002,southern_us
48925,southern_us
36914,italian
2280,southern_us
14729,southern_us
4594,irish
2237,moroccan
45631,moroccan
2317,chinese
23079,filipino
29333,thai
48066,southern_us
15737,italian
30580,jamaican
1119,french
46336,moroccan
5026,spanish
10749,indian
31020,mexican
30805,irish
27653,italian
35060,italian
39174,italian
49509,italian
31784,thai
31408,french
36029,indian
11045,french
6561,southern_us
26992,thai
31179,southern_us
35099,spanish
11018,chinese
17930,mexican
21302,spanish
46352,thai
25132,mexican
7010,french
25850,southern_us
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,italian
34977,southern_us
7124,southern_us
27514,french
27178,mexican
47880,french
29197,french
16347,irish
20333,southern_us
29112,italian
7510,spanish
13897,thai
35699,moroccan
20520,mexican
38920,french
21775,indian
37475,vietnamese
40131,italian
1939,mexican
48268,spanish
34815,italian
13797,italian
39063,chinese
29064,vietnamese
26896,spanish
29477,italian
3352,french
4966,mexican
7316,french
23879,mexican
16525,spanish
32843,spanish
39574,spanish
32737,french
44788,filipino
28772,italian
34189,mexican
33719,southern_us
25846,indian
1423,indian
4328,vietnamese
579,french
5219,indian
2314,italian
31143,moroccan
13409,thai
3281,italian
15804,vietnamese
40835,southern_us
39262,korean
37013,indian
14807,italian
47956,spanish
2580,mexican
13720,italian
23008,chinese
5951,indian
39312,mexican
6176,irish
17617,indian
57,mexican
43422,indian
49403,spanish
44751,russian
21865,southern_us
26584,french
39355,korean
14038,irish
45396,spanish
49715,italian
41515,thai
30445,spanish
4090,thai
17207,thai
40376,filipino
19398,mexican
22347,vietnamese
49671,mexican
40854,spanish
926,chinese
47919,spanish
20571,italian
18866,russian
48742,southern_us
14577,spanish
29481,italian
40996,italian
34470,moroccan
31147,mexican
35932,french
27221,italian
48301,italian
29925,vietnamese
48640,thai
22873,irish
10565,cajun_creole
15509,italian
37569,southern_us
13306,chinese
40474,french
15182,indian
8609,chinese
32168,french
1125,thai
25244,italian
46889,chinese
13841,filipino
47135,moroccan
29036,indian
43533,italian
41631,spanish
22124,spanish
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,italian
34195,vietnamese
14183,spanish
15188,spanish
8734,spanish
30946,southern_us
5588,southern_us
49554,french
1270,indian
1259,vietnamese
45986,french
22351,french
300,mexican
9278,southern_us
10021,indian
17014,spanish
40855,italian
18362,korean
16292,chinese
29924,indian
47174,southern_us
4856,italian
15417,italian
19875,french
42228,indian
36264,mexican
14571,southern_us
23496,chinese
43879,mexican
23431,indian
5499,french
247,filipino
48795,indian
47113,irish
489,mexican
13036,filipino
4838,italian
40630,indian
17576,italian
29972,thai
8123,indian
35918,mexican
42669,vietnamese
24632,russian
35740,mexican
45670,italian
28041,filipino
46688,vietnamese
10309,thai
15367,southern_us
30562,southern_us
47151,moroccan
47300,thai
31200,southern_us
5749,southern_us
41807,irish
13990,mexican
23572,italian
872,southern_us
38085,vietnamese
5248,spanish
26309,italian
26880,mexican
41559,mexican
8059,southern_us
26041,thai
30019,indian
7207,indian
30309,french
2092,french
8023,chinese
4016,irish
24631,italian
35068,southern_us
8523,mexican
28463,french
8629,spanish
43829,spanish
22129,italian
34505,chinese
38200,filipino
36513,thai
32187,italian
7788,southern_us
31130,filipino
40483,southern_us
2224,spanish
14143,french
22889,italian
17406,chinese
10451,thai
19844,italian
23416,russian
33874,french
39951,spanish
41361,mexican
44659,indian
8836,irish
21709,indian
22993,thai
39191,southern_us
17182,mexican
20507,korean
42397,italian
18897,vietnamese
3797,thai
11041,french
807,vietnamese
3514,italian
12936,thai
15050,irish
43377,french
10471,chinese
30721,mexican
14333,indian
6260,chinese
7712,spanish
19048,southern_us
21455,mexican
18575,spanish
47647,irish
35947,mexican
14499,italian
43525,irish
5723,italian
48497,italian
43822,spanish
525,russian
30594,mexican
47948,southern_us
2099,indian
43863,italian
24711,vietnamese
15230,indian
21680,indian
36218,mexican
41622,filipino
34809,italian
5110,spanish
27214,french
34803,french
36822,indian
6912,vietnamese
20373,french
29157,french
6327,mexican
35502,mexican
8305,french
35598,moroccan
48538,indian
49358,indian
44506,mexican
39146,indian
29270,italian
20560,southern_us
24169,southern_us
41537,italian
10431,spanish
31517,thai
34049,chinese
26964,italian
49655,italian
9101,southern_us
30377,italian
7046,indian
47969,mexican
18971,southern_us
38891,southern_us
29506,thai
40305,italian
21255,indian
15578,mexican
24894,southern_us
32089,filipino
46097,filipino
40982,italian
12543,filipino
38366,southern_us
32925,spanish
17506,thai
48389,southern_us
41804,korean
9961,thai
24939,indian
39599,southern_us
45838,mexican
48875,indian
25531,vietnamese
3009,spanish
31965,italian
16901,italian
13370,italian
2954,vietnamese
40353,french
8207,jamaican
10933,korean
38206,southern_us
14110,moroccan
19128,greek
32616,indian
27748,mexican
31858,italian
20510,spanish
17602,thai
35665,vietnamese
46589,indian
8178,mexican
34880,italian
42527,mexican
29682,filipino
32166,thai
30343,irish
15385,cajun_creole
18372,thai
29211,spanish
23269,korean
4561,vietnamese
27365,thai
49032,japanese
22064,italian
12060,french
47834,southern_us
25815,southern_us
34036,chinese
19326,filipino
44078,thai
31090,spanish
17485,southern_us
708,irish
5350,thai
29754,french
18309,italian
46871,spanish
27300,southern_us
41890,mexican
49548,southern_us
11392,french
1354,thai
48819,southern_us
19097,italian
42113,greek
24060,thai
25849,spanish
4543,french
25306,southern_us
41966,french
48719,indian
48191,thai
8826,irish
42703,mexican
16083,french
26613,italian
28088,italian
39965,southern_us
36239,french
4322,moroccan
9951,french
3045,italian
28585,spanish
39841,italian
25913,french
39715,thai
23135,spanish
47022,indian
24160,southern_us
18619,italian
12574,korean
22681,indian
33692,spanish
538,mexican
22118,chinese
21890,french
36340,french
27973,french
12870,italian
22564,chinese
35063,thai
7000,french
11318,moroccan
47001,french
11395,vietnamese
23507,thai
47242,french
48957,spanish
17721,italian
25138,french
47438,moroccan
47162,irish
42459,french
6486,indian
24116,indian
31596,chinese
38887,chinese
10665,jamaican
13712,filipino
2633,spanish
